
io,cpu,mix,totalexe,totalscript,group
27,204,18,204,211,1
27,205,18,205,211,1
26,202,18,203,209,1
27,204,18,204,210,1
27,205,18,206,212,1
27,207,18,207,208,1
27,202,19,203,210,1
27,205,18,205,211,1
27,205,19,205,211,1
27,207,19,207,212,1
                 
                 
27,200,18,201,209,2
26,202,17,202,209,2
26,202,18,202,209,2
25,206,17,206,211,2
27,206,19,206,211,2
26,203,18,203,210,2
26,203,18,203,210,2
26,205,17,205,210,2
27,205,18,205,210,2
25,203,17,204,209,2
                 
                 
35,201,25,202,205,3
37,202,27,203,206,3
37,201,25,202,205,3
36,201,25,202,205,3
36,203,24,204,206,3
36,204,26,205,206,3
36,205,24,205,206,3
37,204,26,205,207,3
36,202,26,203,206,3
36,203,25,204,206,3
                 
                 
67,204,17,205,208,4
70,206,17,206,209,4
74,205,19,205,208,4
69,207,17,207,209,4
71,208,18,208,209,4
63,208,17,208,210,4
77,208,22,208,209,4
64,208,17,208,209,4
69,210,17,210,210,4
77,211,22,211,211,4
                 
                 
26,206,17,207,207,5
25,206,17,206,206,5
25,207,17,207,207,5
26,208,17,208,208,5
26,206,17,208,208,5
26,207,17,207,207,5
26,207,17,208,208,5
26,206,18,207,207,5
26,207,18,208,208,5
26,206,17,206,206,5
